"id","name","type","categories","attribute.1.name","attribute.1.value.s.","attribute.2.name","attribute.2.value.s."
22005,"tweedy twin wool","variation","","color","dusty feather","tweed color","rainbow"
22006,"tweedy twin wool","variation","","color","dusty feather","tweed color","black"
22007,"tweedy twin wool","variation","","color","brick oven","tweed color","rainbow"
21999,"tweedy twin wool","variation","","color","foggy evening","tweed color","rainbow"
22000,"tweedy twin wool","variation","","color","foggy evening","tweed color","black"
22001,"tweedy twin wool","variation","","color","chateau brown","tweed color","rainbow"
22002,"tweedy twin wool","variation","","color","chateau brown","tweed color","black"
21995,"single ply metallic yarn - black rainbow","variation","","color","black rainbow","",""
21994,"single ply metallic yarn - blue","variation","","color","blue","",""
21991,"two ply metallic yarn - red","variation","","color","red","",""
21985,"three ply metallic yarn - chrome","variation","","color","chrome","",""
21984,"three ply metallic yarn - red black","variation","","color","red black","",""
21961,"three ply metallic yarn - fuschia black","variation","","color","fuschia black","",""
21960,"three ply metallic yarn - black","variation","","color","black","",""
21915,"skinny majesty - emerald","variation","","color","emerald","",""
21914,"skinny majesty - dandelion","variation","","color","dandelion","",""
21913,"skinny majesty - blue jay","variation","","color","blue jay","",""
21909,"5/2 spun rayon - emerald","variation","","color","emerald","",""
21908,"5/2 spun rayon - dandelion","variation","","color","dandelion","",""
21907,"5/2 spun rayon - blue jay","variation","","color","blue jay","",""
21903,"duo tone rayon yarn - emerald, 1.0-1.2 lbs per cone","variation","","color","emerald","weight","1.0-1.2 lbs per cone"
21902,"duo tone rayon yarn - dandelion, 1.0-1.2 lbs per cone","variation","","color","dandelion","weight","1.0-1.2 lbs per cone"
21901,"duo tone rayon yarn - blue jay, 1.0-1.2 lbs per cone","variation","","color","blue jay","weight","1.0-1.2 lbs per cone"
21897,"lustrous loopy - emerald","variation","","color","emerald","",""
21896,"lustrous loopy - dandelion","variation","","color","dandelion","",""
21895,"lustrous loopy - blue jay","variation","","color","blue jay","",""
21889,"rayon boucle yarn 3792 - emerald","variation","","color","emerald","",""
21888,"rayon boucle yarn 3792 - silver","variation","","color","silver","",""
21887,"rayon boucle yarn 3792 - dandelion","variation","","color","dandelion","",""
21886,"rayon boucle yarn 3792 - lime","variation","","color","lime","",""
21885,"rayon boucle yarn 3792 - blue jay","variation","","color","blue jay","",""
21855,"rayon chenille yarn 1300 ypp - emerald green, 0.7-0.9 lbs per cone","variation","","color","emerald green","weight","0.7-0.9 lbs per cone"
21854,"rayon chenille yarn 1300 ypp - dandelion, 0.7-0.9 lbs per cone","variation","","color","dandelion","weight","0.7-0.9 lbs per cone"
21853,"rayon chenille yarn 1300 ypp - lime, 0.7-0.9 lbs per cone","variation","","color","lime","weight","0.7-0.9 lbs per cone"
21852,"rayon chenille yarn 1300 ypp - blue jay, 0.7-0.9 lbs per cone","variation","","color","blue jay","weight","0.7-0.9 lbs per cone"
21810,"5/2 spun rayon - red wine","variation","","color","red wine","",""
21809,"5/2 spun rayon - liquid blue","variation","","color","liquid blue","",""
21808,"5/2 spun rayon - deep lilac","variation","","color","deep lilac","",""
21807,"5/2 spun rayon - cayenne","variation","","color","cayenne","",""
21802,"skinny majesty - red wine","variation","","color","red wine","",""
21801,"skinny majesty - liquid blue","variation","","color","liquid blue","",""
21800,"skinny majesty - deep lilac","variation","","color","deep lilac","",""
21799,"skinny majesty - cayenne","variation","","color","cayenne","",""
21794,"duo tone rayon yarn - cayenne, 1.0-1.2 lbs per cone","variation","","color","cayenne","weight","1.0-1.2 lbs per cone"
21793,"duo tone rayon yarn - deep lilac, 1.0-1.2 lbs per cone","variation","","color","deep lilac","weight","1.0-1.2 lbs per cone"
21792,"duo tone rayon yarn - liquid blue, 1.0-1.2 lbs per cone","variation","","color","liquid blue","weight","1.0-1.2 lbs per cone"
21791,"duo tone rayon yarn - red wine, 1.0-1.2 lbs per cone","variation","","color","red wine","weight","1.0-1.2 lbs per cone"
21786,"lustrous loopy - deep lilac","variation","","color","deep lilac","",""
21785,"lustrous loopy - liquid blue","variation","","color","liquid blue","",""
21783,"lustrous loopy - cayenne","variation","","color","cayenne","",""
21782,"lustrous loopy - red wine","variation","","color","red wine","",""
21775,"rayon boucle yarn 3792 - red wine","variation","","color","red wine","",""
21774,"rayon boucle yarn 3792 - liquid blue","variation","","color","liquid blue","",""
21773,"rayon boucle yarn 3792 - deep lilac","variation","","color","deep lilac","",""
21772,"rayon boucle yarn 3792 - cayenne","variation","","color","cayenne","",""
21771,"rayon boucle yarn 3792 - charcoal","variation","","color","charcoal","",""
21770,"rayon boucle yarn 3792 - black","variation","","color","black","",""
21726,"rayon chenille yarn 1300 ypp - cayenne, 1-1.2 lbs per cone","variation","","color","cayenne","weight","1-1.2 lbs per cone"
21725,"rayon chenille yarn 1300 ypp - deep lilac, 1-1.2 lbs per cone","variation","","color","deep lilac","weight","1-1.2 lbs per cone"
21724,"rayon chenille yarn 1300 ypp - charcoal, 1-1.2 lbs per cone","variation","","color","charcoal","weight","1-1.2 lbs per cone"
21723,"rayon chenille yarn 1300 ypp - red wine, 1-1.2 lbs per cone","variation","","color","red wine","weight","1-1.2 lbs per cone"
21722,"rayon chenille yarn 1300 ypp - liquid blue, 1-1.2 lbs per cone","variation","","color","liquid blue","weight","1-1.2 lbs per cone"
21663,"fiesta wool - stone","variation","","color","stone","",""
21589,"organic cotton wool soy linen combo - wisteria","variation","","color","wisteria","",""
21583,"organic cotton wool soy linen combo - pollen","variation","","color","pollen","",""
21584,"organic cotton wool soy linen combo - freshwater","variation","","color","freshwater","",""
21585,"organic cotton wool soy linen combo - waterfall","variation","","color","waterfall","",""
21586,"organic cotton wool soy linen combo - night owl","variation","","color","night owl","",""
21587,"organic cotton wool soy linen combo - natural","variation","","color","natural","",""
21588,"organic cotton wool soy linen combo - rustic red","variation","","color","rustic red","",""
21551,"radiant wool rayon","variable","yarn weight > lace, made in usa, fiber > rayon / viscose, fiber > wool, home-buttons > wool &amp; rayon z-twist collection, home-buttons > z-twist collection","color","lilac luster, vigorous violet, honey crystal, gala garnet","put-up","skein (100g), cone (0.7 lb)"
21564,"radiant wool rayon","variation","","color","honey crystal","put-up","cone (0.7 lb)"
21565,"radiant wool rayon","variation","","color","gala garnet","put-up","skein (100g)"
21566,"radiant wool rayon","variation","","color","gala garnet","put-up","cone (0.7 lb)"
21561,"radiant wool rayon","variation","","color","vigorous violet","put-up","skein (100g)"
21562,"radiant wool rayon","variation","","color","vigorous violet","put-up","cone (0.7 lb)"
21563,"radiant wool rayon","variation","","color","honey crystal","put-up","skein (100g)"
21560,"radiant wool rayon","variation","","color","lilac luster","put-up","skein (100g)"
21552,"radiant wool rayon","variation","","color","lilac luster","put-up","cone (0.7 lb)"
21495,"three ply metallic yarn - turquoise","variation","","color","turquoise","",""
21496,"three ply metallic yarn - white","variation","","color","white","",""
21491,"three ply metallic yarn - green","variation","","color","green","",""
21492,"three ply metallic yarn - pink","variation","","color","pink","",""
21493,"three ply metallic yarn - silver","variation","","color","silver","",""
21494,"three ply metallic yarn - silver black","variation","","color","silver black","",""
21490,"three ply metallic yarn - gold natural","variation","","color","gold natural","",""
21485,"three ply metallic yarn - black","variation","","color","black","",""
21486,"three ply metallic yarn - black copper","variation","","color","black copper","",""
21487,"three ply metallic yarn - copper","variation","","color","copper","",""
21489,"three ply metallic yarn - gold black","variation","","color","gold black","",""
21484,"three ply metallic yarn - gold","variation","","color","gold","",""
21483,"three ply metallic yarn - purple","variation","","color","purple","",""
21436,"cloud yarn - skein","variation","","put-up","skein","",""
21435,"cloud yarn - cone","variation","","put-up","cone","",""
21415,"5/2 spun rayon - natural","variation","","color","natural","",""
21192,"8/4 unmercerized cotton (merry maid) - gulfstream, 0.7-0.9 lbs per cone","variation","","color","gulfstream","weight","0.7-0.9 lbs per cone"
21190,"8/4 unmercerized cotton (merry maid) - bravado red, 0.7-0.9 lbs per cone","variation","","color","bravado red","weight","0.7-0.9 lbs per cone"
21188,"4/4 cotton yarn (worsted cotton) - steel serpent, 0.7-0.9 lbs per cone","variation","","color","steel serpent","weight","0.7-0.9 lbs per cone"
21173,"jetty sun yarn - platinum","variation","","colors","platinum","",""
21170,"nature's wool - honey mustard","variation","","color","honey mustard","",""
21164,"wayfarer yarn - honey mustard","variation","","color","honey mustard","",""
21160,"big wool crepe yarn - black","variation","","color","black","",""
21151,"sun soft linen - bravado red","variation","","color","bravado red","",""
21150,"sun soft linen - gulfstream","variation","","color","gulfstream","",""
21149,"sun soft linen - very berry","variation","","color","very berry","",""
21142,"8/4 unmercerized cotton (merry maid) - very berry, 0.7-0.9 lbs per cone","variation","","color","very berry","weight","0.7-0.9 lbs per cone"
21140,"8/4 unmercerized cotton (merry maid) - spring water, 0.7-0.9 lbs per cone","variation","","color","spring water","weight","0.7-0.9 lbs per cone"
21139,"8/4 unmercerized cotton (merry maid) - tin reflection, 0.7-0.9 lbs per cone","variation","","color","tin reflection","weight","0.7-0.9 lbs per cone"
21138,"8/4 unmercerized cotton (merry maid) - indigo, 0.7-0.9 lbs per cone","variation","","color","indigo","weight","0.7-0.9 lbs per cone"
21137,"8/4 unmercerized cotton (merry maid) - beeswax, 0.7-0.9 lbs per cone","variation","","color","beeswax","weight","0.7-0.9 lbs per cone"
21136,"4/4 cotton yarn (worsted cotton) - gulfstream, 0.7-0.9 lbs per cone","variation","","color","gulfstream","weight","0.7-0.9 lbs per cone"
21129,"4/4 cotton yarn (worsted cotton) - spring water, 0.7-0.9 lbs per cone","variation","","color","spring water","weight","0.7-0.9 lbs per cone"
21128,"4/4 cotton yarn (worsted cotton) - tin reflection, 0.7-0.9 lbs per cone","variation","","color","tin reflection","weight","0.7-0.9 lbs per cone"
21127,"4/4 cotton yarn (worsted cotton) - pine forest, 0.7-0.9 lbs per cone","variation","","color","pine forest","weight","0.7-0.9 lbs per cone"
21105,"soft cotton roving with seed - beeswax","variation","","color","beeswax","",""
21106,"soft cotton roving with seed - very berry","variation","","color","very berry","",""
21107,"soft cotton roving with seed - gulfstream","variation","","color","gulfstream","",""
21103,"soft cotton roving with seed - bravado red","variation","","color","bravado red","",""
21104,"soft cotton roving with seed - forever lilac","variation","","color","forever lilac","",""
21097,"soft cotton roving with seed - pine forest","variation","","color","pine forest","",""
21098,"soft cotton roving with seed - steel serpent","variation","","color","steel serpent","",""
21099,"soft cotton roving with seed - sienna","variation","","color","sienna","",""
21100,"soft cotton roving with seed - indigo","variation","","color","indigo","",""
21101,"soft cotton roving with seed - tin reflection","variation","","color","tin reflection","",""
21102,"soft cotton roving with seed - spring water","variation","","color","spring water","",""
21096,"soft cotton roving with seed - garden spot green","variation","","color","garden spot green","",""
21092,"4/4 cotton yarn (worsted cotton) - beeswax, 0.7-0.9 lbs per cone","variation","","color","beeswax","weight","0.7-0.9 lbs per cone"
21091,"4/4 cotton yarn (worsted cotton) - bravado red, 0.7-0.9 lbs per cone","variation","","color","bravado red","weight","0.7-0.9 lbs per cone"
21071,"8/2 unmercerized cotton - gulfstream, 0.6 lbs per cone","variation","","color","gulfstream","weight","0.6 lbs per cone"
21072,"8/2 unmercerized cotton - gulfstream, 0.8 lbs per cone","variation","","color","gulfstream","weight","0.8 lbs per cone"
21064,"8/2 unmercerized cotton - bravado red, 0.8 lbs per cone","variation","","color","bravado red","weight","0.8 lbs per cone"
21065,"8/2 unmercerized cotton - forever lilac, 0.6 lbs per cone","variation","","color","forever lilac","weight","0.6 lbs per cone"
21066,"8/2 unmercerized cotton - forever lilac, 0.8 lbs per cone","variation","","color","forever lilac","weight","0.8 lbs per cone"
21067,"8/2 unmercerized cotton - beeswax, 0.6 lbs per cone","variation","","color","beeswax","weight","0.6 lbs per cone"
21068,"8/2 unmercerized cotton - beeswax, 0.8 lbs per cone","variation","","color","beeswax","weight","0.8 lbs per cone"
21070,"8/2 unmercerized cotton - very berry, 0.8 lbs per cone","variation","","color","very berry","weight","0.8 lbs per cone"
21062,"8/2 unmercerized cotton - spring water, 0.8 lbs per cone","variation","","color","spring water","weight","0.8 lbs per cone"
21063,"8/2 unmercerized cotton - bravado red, 0.6 lbs per cone","variation","","color","bravado red","weight","0.6 lbs per cone"
21057,"8/2 unmercerized cotton - indigo, 0.6 lbs per cone","variation","","color","indigo","weight","0.6 lbs per cone"
21058,"8/2 unmercerized cotton - indigo, 0.8 lbs per cone","variation","","color","indigo","weight","0.8 lbs per cone"
21059,"8/2 unmercerized cotton - tin reflection, 0.6 lbs per cone","variation","","color","tin reflection","weight","0.6 lbs per cone"
21060,"8/2 unmercerized cotton - tin reflection, 0.8 lbs per cone","variation","","color","tin reflection","weight","0.8 lbs per cone"
21061,"8/2 unmercerized cotton - spring water, 0.6 lbs per cone","variation","","color","spring water","weight","0.6 lbs per cone"
21051,"8/2 unmercerized cotton - pine forest, 0.6 lbs per cone","variation","","color","pine forest","weight","0.6 lbs per cone"
21052,"8/2 unmercerized cotton - pine forest, 0.8 lbs per cone","variation","","color","pine forest","weight","0.8 lbs per cone"
21053,"8/2 unmercerized cotton - steel serpent, 0.6 lbs per cone","variation","","color","steel serpent","weight","0.6 lbs per cone"
21054,"8/2 unmercerized cotton - steel serpent, 0.8 lbs per cone","variation","","color","steel serpent","weight","0.8 lbs per cone"
21055,"8/2 unmercerized cotton - sienna, 0.6 lbs per cone","variation","","color","sienna","weight","0.6 lbs per cone"
21056,"8/2 unmercerized cotton - sienna, 0.8 lbs per cone","variation","","color","sienna","weight","0.8 lbs per cone"
21050,"8/2 unmercerized cotton - garden spot green, 0.8 lbs per cone","variation","","color","garden spot green","weight","0.8 lbs per cone"
21049,"8/2 unmercerized cotton - garden spot green, 0.6 lbs per cone","variation","","color","garden spot green","weight","0.6 lbs per cone"
21025,"stormy yarn - bravado red","variation","","color","bravado red","",""
21026,"stormy yarn - forever lilac","variation","","color","forever lilac","",""
21027,"stormy yarn - beeswax","variation","","color","beeswax","",""
21028,"stormy yarn - very berry","variation","","color","very berry","",""
21029,"stormy yarn - gulfstream","variation","","color","gulfstream","",""
21022,"stormy yarn - indigo","variation","","color","indigo","",""
21023,"stormy yarn - tin reflection","variation","","color","tin reflection","",""
21024,"stormy yarn - spring water","variation","","color","spring water","",""
21019,"stormy yarn - pine forest","variation","","color","pine forest","",""
21020,"stormy yarn - steel serpent","variation","","color","steel serpent","",""
21021,"stormy yarn - sienna","variation","","color","sienna","",""
21018,"stormy yarn - garden spot green","variation","","color","garden spot green","",""
21002,"lustrous loopy - cascade","variation","","color","cascade","",""
21003,"lustrous loopy - verde","variation","","color","verde","",""
21004,"lustrous loopy - platinum","variation","","color","platinum","",""
21001,"lustrous loopy - ivory","variation","","color","ivory","",""
20989,"lana loopy - twilight grey","variation","","color","twilight grey","",""
20990,"lana loopy - brass","variation","","color","brass","",""
20991,"lana loopy - cream puff","variation","","color","cream puff","",""
20987,"lana loopy - caviar","variation","","color","caviar","",""
20988,"lana loopy - honeycomb","variation","","color","honeycomb","",""
20807,"wool crepe with metallic twist - natural iris","variation","","colors","natural iris","",""
20773,"sun soft linen - indigo","variation","","color","indigo","",""
20774,"sun soft linen - tin reflection","variation","","color","tin reflection","",""
20775,"sun soft linen - spring water","variation","","color","spring water","",""
20770,"sun soft linen - pine bristle","variation","","color","pine bristle","",""
20771,"sun soft linen - steel serpent","variation","","color","steel serpent","",""
20772,"sun soft linen - sienna","variation","","color","sienna","",""
20686,"single ply metallic yarn - silver natural","variation","","color","silver natural","",""
20581,"hiking trail - lime, 0.6-0.8 lbs per cone","variation","","color","lime","weight","0.6-0.8 lbs per cone"
20580,"hiking trail - red currant, 1.6 lbs per cone","variation","","color","red currant","weight","1.6 lbs per cone"
20579,"hiking trail - red currant, 0.6-0.8 lbs per cone","variation","","color","red currant","weight","0.6-0.8 lbs per cone"
20578,"hiking trail - spring water, 1.6 lbs per cone","variation","","color","spring water","weight","1.6 lbs per cone"
20577,"hiking trail - spring water, 0.6-0.8 lbs per cone","variation","","color","spring water","weight","0.6-0.8 lbs per cone"
20575,"8/4 unmercerized cotton (merry maid) - lime, 0.7-0.9 lbs per cone","variation","","color","lime","weight","0.7-0.9 lbs per cone"
20572,"8/4 unmercerized cotton (merry maid) - aquatic, 0.7-0.9 lbs per cone","variation","","color","aquatic","weight","0.7-0.9 lbs per cone"
20571,"8/4 unmercerized cotton (merry maid) - barberry, 1.3-1.4 lbs per cone","variation","","color","barberry","weight","1.3-1.4 lbs per cone"
20570,"8/4 unmercerized cotton (merry maid) - barberry, 0.7-0.9 lbs per cone","variation","","color","barberry","weight","0.7-0.9 lbs per cone"
20569,"8/4 unmercerized cotton (merry maid) - aquatic, 1.3-1.4 lbs per cone","variation","","color","aquatic","weight","1.3-1.4 lbs per cone"
20540,"single ply metallic yarn - black copper","variation","","color","black copper","",""
20535,"hiking trail - cinnamon, 0.6-0.8 lbs per cone","variation","","color","cinnamon","weight","0.6-0.8 lbs per cone"
20529,"four ply metallic yarn - rainbow","variation","","color","rainbow","",""
20530,"four ply metallic yarn - black gold","variation","","color","black gold","",""
20531,"four ply metallic yarn - green","variation","","color","green","",""
20532,"four ply metallic yarn - red","variation","","color","red","",""
20526,"four ply metallic yarn - turquoise","variation","","color","turquoise","",""
20527,"four ply metallic yarn - lizard","variation","","color","lizard","",""
20528,"four ply metallic yarn - kelly green","variation","","color","kelly green","",""
20515,"three ply metallic yarn - red","variation","","color","red","",""
20503,"two ply metallic yarn - silver","variation","","color","silver","",""
20504,"two ply metallic yarn - light blue","variation","","color","light blue","",""
20472,"single ply metallic yarn - black silver","variation","","color","black silver","",""
20474,"single ply metallic yarn - gold","variation","","color","gold","",""
20475,"single ply metallic yarn - white","variation","","color","white","",""
20476,"single ply metallic yarn - green","variation","","color","green","",""
20466,"nature's wool - petunia","variation","","color","petunia","",""
20457,"bulky merino wool - candy twist","variation","","color","candy twist","",""
20458,"bulky merino wool - stone","variation","","color","stone","",""
20455,"bulky merino wool - gladiolus","variation","","color","gladiolus","",""
20456,"bulky merino wool - bubble gum","variation","","color","bubble gum","",""
20452,"bulky merino wool - olive","variation","","color","olive","",""
20453,"bulky merino wool - jewel blue","variation","","color","jewel blue","",""
20451,"bulky merino wool - honey mustard","variation","","color","honey mustard","",""
20226,"popcorn yarn - light rainbow gourmet, 0.7-0.9 lbs per cone","variation","","colors","light rainbow gourmet","weight","0.7-0.9 lbs per cone"
20215,"sunburst yarn - ribbon chain","variation","","style","ribbon chain","",""
20216,"sunburst yarn - boucle","variation","","style","boucle","",""
20217,"sunburst yarn - twist","variation","","style","twist","",""
20205,"big chenille 1750 ypp - mint","variation","","color","mint","",""
20206,"big chenille 1750 ypp - dark olive","variation","","color","dark olive","",""
20207,"big chenille 1750 ypp - mushroom","variation","","color","mushroom","",""
20202,"popcorn yarn - bubblegum, 0.7-0.9 lbs per cone","variation","","colors","bubblegum","weight","0.7-0.9 lbs per cone"
20200,"8/4 unmercerized cotton (merry maid) - lime, 1.3-1.4 lbs per cone","variation","","color","lime","weight","1.3-1.4 lbs per cone"
20197,"hiking trail - lime, 1.6 lbs per cone","variation","","color","lime","weight","1.6 lbs per cone"
20196,"hiking trail - cinnamon, 1.6 lbs per cone","variation","","color","cinnamon","weight","1.6 lbs per cone"
20090,"seeded ratton (avanti) - orange peel","variation","","colors","orange peel","",""
20082,"cotton rayon twist - barnacle","variation","","color","barnacle","",""
20080,"bulky merino wool - roasted pumpkin","variation","","color","roasted pumpkin","",""
19984,"frizette lux - gold (3 ply)","variation","","color","gold (3 ply)","",""
19985,"frizette lux - rainbow","variation","","color","rainbow","",""
19986,"frizette lux - copper","variation","","color","copper","",""
19977,"fine metallic gimp yarn - red, 0.8-1 lbs per cone","variation","","color","red","weight","0.8-1 lbs per cone"
19976,"fine metallic gimp yarn - matte gold, 0.8-1 lbs per cone","variation","","color","matte gold","weight","0.8-1 lbs per cone"
19909,"popcorn yarn - red apple, 0.7-0.9 lbs per cone","variation","","colors","red apple","weight","0.7-0.9 lbs per cone"
19895,"persian rug yarn","variation","","colors","natural","put up","0.5 lb cone"
19894,"persian rug yarn","variation","","colors","natural","put up","0.25 lb skein"
19883,"seeded ratton (avanti) - purple plum","variation","","colors","purple plum","",""
19879,"autumn leaves - 1610","variation","","style","1610","",""
19878,"autumn leaves - ribbon chain","variation","","style","ribbon chain","",""
19877,"autumn leaves - 5802","variation","","style","5802","",""
19862,"shades of sunset - sunset purple, boucle","variation","","colors","sunset purple","style","boucle"
19861,"shades of sunset - sunset red, boucle","variation","","colors","sunset red","style","boucle"
19854,"fun mini accents - polka dot","variation","","color","polka dot","",""
19855,"fun mini accents - jems","variation","","color","jems","",""
19856,"fun mini accents - truffle","variation","","color","truffle","",""
19802,"popcorn yarn - bungalow blue, 0.7-0.9 lbs per cone","variation","","colors","bungalow blue","weight","0.7-0.9 lbs per cone"
19787,"super soft worsted cotton yarn - paprika","variation","","color","paprika","",""
19788,"super soft worsted cotton yarn - yellow corn","variation","","color","yellow corn","",""
19789,"super soft worsted cotton yarn - honeydew","variation","","color","honeydew","",""
19790,"super soft worsted cotton yarn - milky","variation","","color","milky","",""
19791,"super soft worsted cotton yarn - misty rose","variation","","color","misty rose","",""
19792,"super soft worsted cotton yarn - sea blue","variation","","color","sea blue","",""
19786,"super soft worsted cotton yarn - pumpkin","variation","","color","pumpkin","",""
19769,"fine rayon boucle yarn - ivy","variation","","color","ivy","",""
19758,"florafil shimmer yarn - rose","variation","","color","rose","",""
19742,"shimmer yarn - rose","variation","","colors","rose","",""
19731,"florafil super soft cotton yarn | bulky - natural cotton","variation","","color","natural cotton","",""
19730,"8/4 unmercerized cotton (merry maid) - natural, 1.3-1.4 lbs per cone","variation","","color","natural","weight","1.3-1.4 lbs per cone"
19714,"thick and thin cotton with linen - scarlet","variation","","colors","scarlet","",""
19715,"thick and thin cotton with linen - sea foam","variation","","colors","sea foam","",""
19716,"thick and thin cotton with linen - sunshine","variation","","colors","sunshine","",""
19709,"thick and thin cotton with linen - bright white","variation","","colors","bright white","",""
19710,"thick and thin cotton with linen - midnight navy","variation","","colors","midnight navy","",""
19711,"thick and thin cotton with linen - lime","variation","","colors","lime","",""
19712,"thick and thin cotton with linen - pewter","variation","","colors","pewter","",""
19713,"thick and thin cotton with linen - sand dune","variation","","colors","sand dune","",""
19693,"cotton bash thick and thin - blue mist, 0.5-0.7 lbs per cone","variation","","color","blue mist","weight","0.5-0.7 lbs per cone"
19692,"cotton bash thick and thin - denim, 0.7-0.9 lbs per cone","variation","","color","denim","weight","0.7-0.9 lbs per cone"
19691,"cotton bash thick and thin - eros, 0.5-0.7 lbs per cone","variation","","color","eros","weight","0.5-0.7 lbs per cone"
19659,"cotton bash macrame - blue mist","variation","","color","blue mist","",""
19658,"cotton bash macrame - denim","variation","","color","denim","",""
19657,"cotton bash macrame - eros","variation","","color","eros","",""
19655,"mini dina - lime","variation","","colors","lime","",""
19654,"mini dina - cascade navy","variation","","colors","cascade navy","",""
19635,"curaã§ao cotton boucle - papaya","variation","","color","papaya","",""
19634,"curaã§ao cotton boucle - waves","variation","","color","waves","",""
19608,"popcorn yarn - seeded watermelon, 0.7-0.9 lbs per cone","variation","","colors","seeded watermelon","weight","0.7-0.9 lbs per cone"
19607,"popcorn yarn - candy corn, 0.7-0.9 lbs per cone","variation","","colors","candy corn","weight","0.7-0.9 lbs per cone"
19594,"jewels - black gold","variation","","colors","black gold","",""
19595,"jewels - white silver","variation","","colors","white silver","",""
